label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
S,0.0,0.0,0.17538070678710938,-0.0225411057472229,0.31191202998161316,-0.14646446704864502,0.4459886848926544,-0.25315284729003906,0.6064244210720062,-0.3044224679470062,0.18167147040367126,-0.4256550669670105,0.3319351375102997,-0.44103673100471497,0.35932818055152893,-0.33994966745376587,0.31236371397972107,-0.26799970865249634,0.12052926421165466,-0.4523533582687378,0.3089139759540558,-0.4349910765886307,0.31995293498039246,-0.31570810079574585,0.27154144644737244,-0.26731500029563904,0.07001259922981262,-0.4447290599346161,0.27632203698158264,-0.42621371150016785,0.2842325270175934,-0.3054662048816681,0.2317264974117279,-0.26069074869155884,0.026113957166671753,-0.4069184809923172,0.21534883975982666,-0.38084788620471954,0.23205888271331787,-0.2825552523136139,0.18763908743858337,-0.23800751566886902
Y,0.0,0.0,-0.18401294946670532,-0.08388108015060425,-0.3439323306083679,-0.27742600440979004,-0.443505197763443,-0.43627578020095825,-0.5439453423023224,-0.5205724537372589,-0.1652226746082306,-0.43636688590049744,-0.12240427732467651,-0.5637791156768799,-0.09930121898651123,-0.41632384061813354,-0.0982314944267273,-0.29704660177230835,-0.045278966426849365,-0.43080711364746094,-0.016054391860961914,-0.5386393368244171,-0.010355651378631592,-0.35332193970680237,-0.025716006755828857,-0.22016435861587524,0.05686312913894653,-0.41630372405052185,0.08351409435272217,-0.5132630467414856,0.07324433326721191,-0.34594327211380005,0.05081850290298462,-0.22142601013183594,0.14958423376083374,-0.39652833342552185,0.2030993103981018,-0.5579887330532074,0.24350488185882568,-0.6552536189556122,0.2699597477912903,-0.7542655169963837
S,0.0,0.0,0.17196041345596313,-0.00923168659210205,0.3084896504878998,-0.12003368139266968,0.44194164872169495,-0.21686244010925293,0.5930443108081818,-0.2590745687484741,0.2123146951198578,-0.394864559173584,0.3516691029071808,-0.40002863109111786,0.3586213290691376,-0.30400577187538147,0.3047734200954437,-0.24652686715126038,0.15040162205696106,-0.42683736979961395,0.3199032247066498,-0.4019053429365158,0.3135535418987274,-0.28890904784202576,0.26406267285346985,-0.2564581632614136,0.09320387244224548,-0.42430248856544495,0.27180758118629456,-0.3915185034275055,0.26257506012916565,-0.2778159976005554,0.20839741826057434,-0.24199742078781128,0.0380977988243103,-0.3886639475822449,0.204298734664917,-0.360262930393219,0.23118740320205688,-0.26776283979415894,0.2080073058605194,-0.223466157913208
S,0.0,0.0,0.20709797739982605,-0.17669320106506348,0.2745341360569,-0.3446827530860901,0.376119464635849,-0.47380155324935913,0.49904999136924744,-0.5381113290786743,-0.05731356143951416,-0.47321557998657227,0.06951621174812317,-0.6607888638973236,0.21766307950019836,-0.6211189478635788,0.28541067242622375,-0.5266126394271851,-0.09836962819099426,-0.47110405564308167,0.06572103500366211,-0.6968784034252167,0.23130473494529724,-0.6283347457647324,0.2941395938396454,-0.5322911143302917,-0.09263519942760468,-0.46062004566192627,0.07022374868392944,-0.6854089498519897,0.2296639382839203,-0.6151458323001862,0.2711997330188751,-0.5289017260074615,-0.05003061890602112,-0.4481450021266937,0.10885405540466309,-0.6165909916162491,0.22441503405570984,-0.5694829523563385,0.2551058828830719,-0.5000289678573608
G,0.0,0.0,-0.03978380560874939,-0.21198201179504395,0.017821967601776123,-0.4234771132469177,0.10758945345878601,-0.6031154990196228,0.18000495433807373,-0.7225878536701202,0.23717835545539856,-0.43439817428588867,0.505237340927124,-0.4666675925254822,0.6443989276885986,-0.4973098039627075,0.7543288469314575,-0.5169159770011902,0.3230651021003723,-0.3059854507446289,0.4416126012802124,-0.296042263507843,0.3586839437484741,-0.26361793279647827,0.2765602171421051,-0.2384006381034851,0.35854071378707886,-0.16422849893569946,0.4230956435203552,-0.18472802639007568,0.3566359281539917,-0.14584386348724365,0.2819894850254059,-0.11110633611679077,0.3921928405761719,-0.037608325481414795,0.40900957584381104,-0.07908135652542114,0.34083783626556396,-0.04020816087722778,0.2800120711326599,-0.008959949016571045
Y,0.0,0.0,0.14540845155715942,-0.10472983121871948,0.22508388757705688,-0.3229515552520752,0.264895498752594,-0.5026978552341461,0.34475964307785034,-0.6046474277973175,0.022808849811553955,-0.41471120715141296,-0.03143259882926941,-0.4972779154777527,-0.01576906442642212,-0.3772587180137634,0.012931346893310547,-0.28235530853271484,-0.0807618796825409,-0.38280975818634033,-0.1330304741859436,-0.4694587290287018,-0.095377117395401,-0.32388412952423096,-0.05734223127365112,-0.21349060535430908,-0.1731162667274475,-0.34997743368148804,-0.23096096515655518,-0.44709140062332153,-0.16588911414146423,-0.3113858699798584,-0.10393857955932617,-0.20219695568084717,-0.26073700189590454,-0.31438153982162476,-0.34770700335502625,-0.458487868309021,-0.40395113825798035,-0.5465704202651978,-0.4511096179485321,-0.6315900236368179
Y,0.0,0.0,0.15735271573066711,-0.09247773885726929,0.26767054200172424,-0.29435133934020996,0.3403870165348053,-0.46127772331237793,0.4317350685596466,-0.5442241132259369,0.07479789853096008,-0.42639899253845215,0.03975754976272583,-0.5513746738433838,0.05053260922431946,-0.41675347089767456,0.06841012835502625,-0.30869853496551514,-0.03070986270904541,-0.40587469935417175,-0.056750595569610596,-0.49709033966064453,-0.029401570558547974,-0.3387531042098999,-0.004327178001403809,-0.2292187213897705,-0.12537118792533875,-0.3804813623428345,-0.15693244338035583,-0.4799779951572418,-0.11300721764564514,-0.33602920174598694,-0.07287168502807617,-0.2248234748840332,-0.2138405740261078,-0.3541775047779083,-0.26937755942344666,-0.5117498934268951,-0.30912894010543823,-0.6076647788286209,-0.343193382024765,-0.697377160191536
E,0.0,0.0,0.0950925350189209,-0.06230747699737549,0.16492342948913574,-0.18221038579940796,0.19063520431518555,-0.2531674802303314,0.1525794267654419,-0.23734766244888306,0.029936552047729492,-0.3273741900920868,0.07339167594909668,-0.39441411197185516,0.13901543617248535,-0.31129005551338196,0.1525287628173828,-0.2394236922264099,-0.06069502234458923,-0.32018354535102844,-0.03953483700752258,-0.42521533370018005,0.026494741439819336,-0.31967318058013916,0.03629446029663086,-0.2214355766773224,-0.14809244871139526,-0.2854848802089691,-0.17058655619621277,-0.4003906548023224,-0.10116469860076904,-0.319477379322052,-0.08427155017852783,-0.23660477995872498,-0.232510507106781,-0.21925121545791626,-0.26517969369888306,-0.3223748803138733,-0.22706952691078186,-0.31432461738586426,-0.20909225940704346,-0.2805732488632202
H,0.0,0.0,0.1998562216758728,-0.0649099349975586,0.33788788318634033,-0.19542407989501953,0.46549034118652344,-0.2929713726043701,0.5511549711227417,-0.37082916498184204,0.09981226921081543,-0.3955800533294678,0.21030539274215698,-0.6166792809963226,0.2611292898654938,-0.7165443003177643,0.2836189270019531,-0.7920737862586975,0.008566349744796753,-0.4208889603614807,0.17053133249282837,-0.6097332537174225,0.251579612493515,-0.6490893363952637,0.2866196632385254,-0.647430956363678,-0.0271298885345459,-0.4114348292350769,0.08955782651901245,-0.6167474985122681,0.09550029039382935,-0.7154056280851364,0.0705299973487854,-0.7724988609552383,-0.015064790844917297,-0.3801630139350891,0.07284614443778992,-0.5279380977153778,0.08159255981445312,-0.6151114404201508,0.06402099132537842,-0.6796488910913467
K,0.0,0.0,0.13740408420562744,-0.13597577810287476,0.11119025945663452,-0.3315693736076355,0.007420241832733154,-0.465658962726593,-0.09291809797286987,-0.589796394109726,-0.06866723299026489,-0.4744824171066284,0.04264366626739502,-0.520347535610199,0.12665343284606934,-0.5321944952011108,0.16677320003509521,-0.5850693583488464,-0.21558263897895813,-0.4427584707736969,-0.0035271644592285156,-0.39977508783340454,0.06698077917098999,-0.2819463014602661,0.03997856378555298,-0.268978476524353,-0.32187655568122864,-0.373218297958374,-0.09580528736114502,-0.3037286400794983,-0.04224753379821777,-0.18264442682266235,-0.08338665962219238,-0.1469566822052002,-0.41420048475265503,-0.270369291305542,-0.2067863643169403,-0.23607158660888672,-0.14705705642700195,-0.14953410625457764,-0.18424734473228455,-0.12002229690551758
